Stations,Longitude,Latitude,Zones,Depth,Phytoplankton,Diatoms,Dinoflagilates,Cyanobacteria,Temperature,Salinity,PO4,SiO3,NH4 ,NOx,NO2,NO3
A,126,18,Upper ,1,54.78,42.61,12.17,0.87,28.8,34.28,0,0.79,0.93,0.21,0.13,0.08
A,126,18,Upper ,2,96.52,89.57,6.96,0,28.77,34.31,0,0.89,1.03,0.32,0.1,0.22
A,126,18,Upper ,3,98.26,88.7,9.57,0,25.33,34.99,0.03,1.31,1.14,0.94,0.21,0.74
A,126,18,Upper ,4,12.17,8.7,3.48,0,22.38,35.04,0.2,1.65,0,2.13,0.14,1.99
B,128,18,Upper ,1,40.87,20,20.87,6.96,28.74,34.07,0.16,0.47,2.55,0.66,0.09,0.57
B,128,18,Upper ,2,22.61,14.78,7.83,0,27.82,34.75,0,0.55,1.25,0.31,0.08,0.23
B,128,18,Upper ,3,63.48,47.83,15.65,0,23.34,35.03,0.04,1.35,0.81,1.54,0.14,1.41
B,128,18,Upper ,4,50.43,44.35,6.09,0,20.42,34.97,0.07,1.78,0.84,2.29,0.14,2.15
C,130,18,Upper ,1,57.39,36.52,20.87,0,27.97,34.46,0.02,0.58,1.31,0.2,0.09,0.11
C,130,18,Upper ,2,93.91,72.17,21.74,0,25.51,34.81,0.01,0.63,2.86,0.46,0.1,0.36
C,130,18,Upper ,3,120.87,114.78,6.09,0,22.39,35.04,0.05,0.93,1.34,1.04,0.08,0.96
C,130,18,Upper ,4,55.65,49.57,6.09,0,20.02,34.95,0.12,1.15,0.04,1.39,0.06,1.33
D,130,16,Lower ,1,67.83,45.22,22.61,0,29.12,33.86,0.06,0.65,0.58,0.8,0.05,0.75
D,130,16,Lower ,2,86.96,46.09,40.87,0,29.09,33.86,0.07,0.76,1.64,0.71,0.07,0.64
D,130,16,Lower ,3,93.04,40,53.04,0,26.68,34.85,0.05,0.64,0.81,0.66,0.09,0.56
D,130,16,Lower ,4,31.3,20.87,10.43,0,23.37,34.93,0.2,1.72,1.06,2.55,0.09,2.46
E,130,15,Lower ,1,41.74,26.96,14.78,0,27.91,34.42,0.01,0.93,0.54,0.08,0.06,0.01
E,130,15,Lower ,2,42.61,31.3,11.3,0,27.91,34.42,0,0.75,0.58,0.74,0.1,0.64
E,130,15,Lower ,3,23.48,18.26,5.22,0,25.14,34.97,0.19,1.55,0.35,1.83,0.25,1.58
E,130,15,Lower ,4,26.09,17.39,8.7,0,20.85,34.98,0.28,1.66,0.95,2.07,0.06,2.01
F,130,14,Lower ,1,74.78,51.3,23.48,0,29.23,33.94,0.09,0.92,0.82,0.36,0.09,0.26
F,130,14,Lower ,2,121.74,91.3,30.43,0,29.28,34.01,0.05,0.72,0.56,0.14,0.07,0.06
F,130,14,Lower ,3,122.61,109.57,13.04,0,28.38,34.54,0.04,0.77,1.02,0.34,0.1,0.24
F,130,14,Lower ,4,64.35,56.52,7.83,0,24.94,35,0.32,0.68,1.49,0.92,0.21,0.71
G,130,12,Lower ,1,21.74,7.83,13.91,0,28.44,34.07,0.02,0.83,0,0.61,0.11,0.49
G,130,12,Lower ,2,33.91,24.35,9.57,0,28.19,34.2,0,0.89,0,0.05,0.04,0.01
G,130,12,Lower ,3,111.3,91.3,20,0,26.56,34.81,0.1,0.82,0.06,0.19,0.07,0.11
G,130,12,Lower ,4,39.13,33.91,5.22,0,21.92,35.1,0.11,1.39,0,1.59,0.12,1.47
H,130,10,Lower ,1,46.09,30.43,15.65,0,29.21,34.06,0,0.71,0.87,0.57,0.06,0.51
H,130,10,Lower ,2,65.22,33.91,31.3,0,29.11,34.06,0,0.49,0.46,0.32,0.09,0.24
H,130,10,Lower ,3,45.22,30.43,14.78,0,25.77,34.84,0.07,0.64,0.82,0.42,0.07,0.35
